T_C;seria_Hmax_nom_A_per_m;branch;i;H_A_per_m;B_T
20;10000;desc;136;-2179.5;-0.01776
20;10000;desc;137;-2240.1;-0.01809
20;10000;desc;138;-2300.6;-0.01863
20;10000;desc;139;-2361.2;-0.01884
20;10000;desc;140;-2421.7;-0.01913
20;10000;desc;141;-2482.3;-0.01965
20;10000;desc;142;-2542.8;-0.02016
20;10000;desc;143;-2603.3;-0.02105
20;10000;desc;144;-2663.9;-0.02129
20;10000;desc;145;-2724.4;-0.02149
20;10000;desc;146;-2785.0;-0.02172
20;10000;desc;147;-2845.5;-0.02205
20;10000;desc;148;-2906.1;-0.02239
20;10000;desc;149;-2966.6;-0.02281
20;10000;desc;150;-3027.1;-0.02332
20;10000;desc;151;-3087.7;-0.02385
20;10000;desc;152;-3148.2;-0.02415
20;10000;desc;153;-3208.8;-0.02473
20;10000;desc;154;-3269.3;-0.02513
20;10000;desc;155;-3329.9;-0.02529
20;10000;desc;156;-3390.4;-0.02550
20;10000;desc;157;-3450.9;-0.02569
20;10000;desc;158;-3511.5;-0.02575
20;10000;desc;159;-3572.0;-0.02602
20;10000;desc;160;-3632.6;-0.02691
20;10000;desc;161;-3693.1;-0.02739
20;10000;desc;162;-3753.7;-0.02770
20;10000;desc;163;-3814.2;-0.02801
20;10000;desc;164;-3874.7;-0.02851
20;10000;desc;165;-3935.3;-0.02884
20;10000;desc;166;-3995.8;-0.02905
20;10000;desc;167;-4056.4;-0.02961
20;10000;desc;168;-4116.9;-0.02998
20;10000;desc;169;-4177.5;-0.03047
20;10000;desc;170;-4238.0;-0.03088
20;10000;desc;171;-4298.5;-0.03123
20;10000;desc;172;-4359.1;-0.03150
20;10000;desc;173;-4419.6;-0.03174
20;10000;desc;174;-4480.2;-0.03193
20;10000;desc;175;-4540.7;-0.03202
20;10000;desc;176;-4601.3;-0.03229
20;10000;desc;177;-4661.8;-0.03343
20;10000;desc;178;-4722.3;-0.03409
20;10000;desc;179;-4782.9;-0.03417
20;10000;desc;180;-4843.4;-0.03419
20;10000;desc;181;-4904.0;-0.03445
20;10000;desc;182;-4964.5;-0.03462
20;10000;desc;183;-5025.1;-0.03465
20;10000;desc;184;-5085.6;-0.03481
20;10000;desc;185;-5146.1;-0.03525
20;10000;desc;186;-5206.7;-0.03565
20;10000;desc;187;-5267.2;-0.03606
20;10000;desc;188;-5327.8;-0.03661
20;10000;desc;189;-5388.3;-0.03699
20;10000;desc;190;-5448.9;-0.03731
20;10000;desc;191;-5509.4;-0.03768
20;10000;desc;192;-5569.9;-0.03793
20;10000;desc;193;-5630.5;-0.03813
20;10000;desc;194;-5691.0;-0.03839
20;10000;desc;195;-5751.6;-0.03870
20;10000;desc;196;-5812.1;-0.03968
20;10000;desc;197;-5872.7;-0.03997
20;10000;desc;198;-5933.2;-0.03992
20;10000;desc;199;-5993.7;-0.03992
20;10000;desc;200;-6054.3;-0.04181
20;10000;asc;0;-6054.3;-0.04181
20;10000;asc;1;-5993.7;-0.03992
20;10000;asc;2;-5933.2;-0.03992
20;10000;asc;3;-5872.7;-0.03997
20;10000;asc;4;-5812.1;-0.03968
20;10000;asc;5;-5751.6;-0.03870
20;10000;asc;6;-5691.0;-0.03839
20;10000;asc;7;-5630.5;-0.03813
20;10000;asc;8;-5569.9;-0.03793
20;10000;asc;9;-5509.4;-0.03768
20;10000;asc;10;-5448.9;-0.03731
